ingredient_id,inci_name
ing00577,buxus chinensis  oil
ing00578,c10-13 cholesterol/lanosterol esters
ing00579,c10-18 triglycerides
ing00580,c10‐30 cholesterol/lanosterol esters
ing00581,c12-13 alkyl lactate
ing00582,c12-13 pareth -3
ing00583,c12-13 pareth-23
ing00584,c12-13 pareth-3
ing00585,c12-15
ing00586,c12-15 alkyl benzoate
ing00587,c12-15 alkyl ethylhexanoate
ing00588,c12-15 alkyl lactate
ing00589,c12-16 alcohols
ing00590,c12-20 acid peg-8 ester
ing00591,c12-20 alkyl glucoside
ing00592,c12-c15 alkyl benzoate
ing00593,c13-14 isoparaffin
ing00594,c13-15 alkane
ing00595,c13-16 isoparaffin
ing00596,c14-22 alcohols
ing00597,c15-19 alkane
ing00598,c18-36 acid glycol ester
ing00599,c18-36 acid triglyceride
ing00600,c20-22 alcohols
ing00601,c20-22 alkyl phosphate
ing00602,c20-40 acid
ing00603,c20-40 pareth-10
ing00604,c30-45 alkyl cetearyl dimethicone crosspolymer
ing00605,caesalpinia spinosa fruit extract
ing00606,caesalpinia spinosa gum
ing00607,caffein
ing00608,caffeine
ing00609,caffeine [] yeast extract\faex\extrait de levure
ing00610,calcium aluminum borosilicate
ing00611,calcium caseinate
ing00612,calcium chloride
ing00613,calcium gluconate
ing00614,calcium ketogluconate
ing00615,calcium lactate
ing00616,calcium pantetheine sulfonate
ing00617,calcium pantothenate
ing00618,calcium pca
ing00619,calcium sodium borosilicate
ing00620,calcium sulfate
ing00621,calendula extract
ing00622,calendula officinalis  flower
ing00623,calendula officinalis  flower extract
ing00624,calendula officinalis  flower oil
ing00625,calendula officinalis extract
ing00626,calendula officinalis flower extract
ing00627,callitris columellaris leaf/wood extract
ing00628,calophyllum inophyllum  seed oil
ing00629,calophyllum tacamahaca  seed oil
ing00630,calotropis procera  callus extract
ing00631,camelia sinensis leaf
ing00632,camelia sinensis leaf  extract
ing00633,camelia sinensis leaf extract
ing00634,camelina sativa  seed oil
ing00635,camelina sativa oil
ing00636,camelina sativa seed oil
ing00637,camellia
ing00638,camellia japonica flower extract
ing00639,camellia japonica seed oil
ing00640,camellia kissi seed oil
ing00641,camellia oleifera  seed oil
ing00642,camellia oleifera leaf
ing00643,camellia oleifera leaf extract
ing00644,camellia oleifera seed oil
ing00645,camellia senensis leaf extract
ing00646,camellia sinensis  leaf extract
ing00647,camellia sinensis leaf
ing00648,camellia sinensis leaf extract
ing00649,camellia sinensis leaf water
ing00650,camellia sinensis seed oil
ing00651,camellia sinensis leaf extract
ing00652,camellia sinesis leaf extract
ing00653,camellia sinensis leaf extract
ing00654,camomile
ing00655,camomilla recutita  flower extract
ing00656,camphor
ing00657,cananga odorata
ing00658,cananga odorata  flower oil
ing00659,cananga odorata  oil
ing00660,cananga odorata flower oil
ing00661,cananga odorata  flower oil
ing00662,canangaodoratafloweroil
ing00663,candelilla cera
ing00664,candelilla cera/candelilla wax/lire de candelilla
ing00665,candelilla/jojoba/rice bran polyglyceryl-3 esters
ing00666,candida bombicola/glucose/methyl rapeseedate ferment
ing00667,cannabidiol
ing00668,cannabis sativa  extract
ing00669,cannabis sativa oil
ing00670,cannabis sativa seed extract
ing00671,cannabis sativa seed oil
ing00672,canola oil
ing00673,caprate
ing00674,capric/caprylic triglyceride
ing00675,capric/carprylic triglyceride
ing00676,caprilic/capric triglyceride
ing00677,caprooyl tetrapeptide-3
ing00678,capryl glycol
ing00679,capryl/capramidopropyl betaine
ing00680,caprylhydroxamic acid
ing00681,caprylic / capric triglyceride
ing00682,caprylic /capric triglyceride
ing00683,caprylic/ capric triglyceride
ing00684,caprylic/- capric triglyceride
ing00685,caprylic/capric griglyceride
ing00686,caprylic/capric triglyceride
ing00687,caprylic/capric triglycerides
ing00688,caprylic/capric triglycerides & glycerine & aqua & sucrose laurate
ing00689,caprylic/capric/myristic/stearic triglyceride
